codigo,descricao,sigla,cod_descricao
1691,Mandado De Segurança Infância E Juventude,MSInfJuvCiv,1691:Mandado De Segurança Infância E Juventude
11890,Parecer De Mérito Sobre Anteprojeto De Lei,PAM,11890:Parecer De Mérito Sobre Anteprojeto De Lei
1425,Prestação De Contas Infância E Juventude,PreConIJ,1425:Prestação De Contas Infância E Juventude
1721,Recurso Ordinário Em Mandado De Segurança,ROMS,1721:Recurso Ordinário Em Mandado De Segurança
1412,Adoção C/C Destituição Do Poder Familiar,AdoDPF,1412:Adoção C/C Destituição Do Poder Familiar
1001,Agravo De Instrumento Em Agravo De Petição,AIAP,1001:Agravo De Instrumento Em Agravo De Petição
1126,Ação Trabalhista - Rito Sumário (Alçada),ATAlc,1126:Ação Trabalhista - Rito Sumário (Alçada)
11543,Criação De Zona Eleitoral Ou Remanejamento,CZER,11543:Criação De Zona Eleitoral Ou Remanejamento
1137,Embargos De Divergência Em Recurso Especial,EmbDivREsp,1137:Embargos De Divergência Em Recurso Especial
993,Execução De Certidão De Crédito Judicial,ExCCJ,993:Execução De Certidão De Crédito Judicial
10974,Incidente De Falsidade Infância E Juventude,IncFalIJ,10974:Incidente De Falsidade Infância E Juventude
59,Organização E Fiscalização De Fundação,OrFiFu,59:Organização E Fiscalização De Fundação
1288,Transferência Entre Estabelecimentos Penais,TEEP,1288:Transferência Entre Estabelecimentos Penais
12728,Transferência Entre Estabelecimentos Penais,TEEP,12728:Transferência Entre Estabelecimentos Penais
81,Busca E Apreensão Em Alienação Fiduciária,BAAF,81:Busca E Apreensão Em Alienação Fiduciária
11535,Cancelamento De Registro De Partido Político,CRPP,11535:Cancelamento De Registro De Partido Político
1016,Embargos De Divergência Em Agravo Regimental,EmbAI,1016:Embargos De Divergência Em Agravo Regimental
1432,Execução De Alimentos Infância E Juventude,ExeAliIJ,1432:Execução De Alimentos Infância E Juventude
994,Execução Provisória Em Autos Suplementares,ExProvAS,994:Execução Provisória Em Autos Suplementares
11534,Procedimentos Relativos A Partidos Políticos,PRPP,11534:Procedimentos Relativos A Partidos Políticos
11398,Recurso Em Sentido Estrito/Recurso Ex Officio,RSEExOf,11398:Recurso Em Sentido Estrito/Recurso Ex Officio
12557,Recurso/Impugnação De Alistamento Eleitoral,RIAE,12557:Recurso/Impugnação De Alistamento Eleitoral
51,"Abertura, Registro E Cumprimento De Testamento",ARCT,"51:Abertura, Registro E Cumprimento De Testamento"
976,Ação Anulatória De Cláusulas Convencionais,AACC,976:Ação Anulatória De Cláusulas Convencionais
11037,Ação Penal Militar - Procedimento Ordinário,APMOrd,11037:Ação Penal Militar - Procedimento Ordinário
10970,Conflito De Competência Infância E Juventude,CCIJ,10970:Conflito De Competência Infância E Juventude
10975,Exceção De Impedimento Infância E Juventude,ExcImpIJ,10975:Exceção De Impedimento Infância E Juventude
10977,Exceção De Suspeição Infância E Juventude,ExcSusIJ,10977:Exceção De Suspeição Infância E Juventude
1022,Execução Em Sentença Estrangeira Contestada,ExeSEC,1022:Execução Em Sentença Estrangeira Contestada
12386,Incidente De Impedimento Infância E Juventude,IncImpIJ,12386:Incidente De Impedimento Infância E Juventude
12388,Incidente De Suspeição Infância E Juventude,IncSusIJ,12388:Incidente De Suspeição Infância E Juventude
285,Processo Especial Do Código De Processo Penal,PECPP,285:Processo Especial Do Código De Processo Penal
12763,Reconhecimento E Extinção De União Estável,REUE,12763:Reconhecimento E Extinção De União Estável
1719,Avaliação Para Atestar Dependência De Drogas,AvalDep,1719:Avaliação Para Atestar Dependência De Drogas
87,Conversão De Separação Judicial Em Divórcio,CSJD,87:Conversão De Separação Judicial Em Divórcio
1017,Embargos À Execução Em Mandado De Segurança,EmbExeMS,1017:Embargos À Execução Em Mandado De Segurança
12555,Impugnação À Composição De Junta Eleitoral,ICJE,12555:Impugnação À Composição De Junta Eleitoral
1733,Procedimento Investigatório Criminal (Pic-Mp) ,PICMP,1733:Procedimento Investigatório Criminal (Pic-Mp) 
11794,Restituição De Coisas Apreendidas Infracional,ReCoApInfr,11794:Restituição De Coisas Apreendidas Infracional
204,Agravo De Instrumento Em Recurso Extraordinário,AIRE,204:Agravo De Instrumento Em Recurso Extraordinário
88,Correição Parcial Ou Reclamação Correicional,CorPar,88:Correição Parcial Ou Reclamação Correicional
12085,Incidente De Resolução De Demandas Repetitivas,IRDR,12085:Incidente De Resolução De Demandas Repetitivas
10967,Medidas Protetivas - Estatuto Do Idoso Criminal ,MedProtEICrim,10967:Medidas Protetivas - Estatuto Do Idoso Criminal 
1294,Outros Procedimentos De Jurisdição Voluntária,OPJV,1294:Outros Procedimentos De Jurisdição Voluntária
144,Suspensão De Liminar Ou Antecipação De Tutela,SLAT,144:Suspensão De Liminar Ou Antecipação De Tutela
12120,Agravo Em Execução De Medidas Sócio-Educativas,AgExMSo,12120:Agravo Em Execução De Medidas Sócio-Educativas
10976,Exceção De Incompetência Infância E Juventude,ExcIncIJ,10976:Exceção De Incompetência Infância E Juventude
12077,Homologação Em Acordo De Colaboração Premiada,HomoAcColPrem,12077:Homologação Em Acordo De Colaboração Premiada
152,Liquidação De Sentença Pelo Procedimento Comum,LiqProcedCom,152:Liquidação De Sentença Pelo Procedimento Comum
155,Procedimento De Cumprimento De Sentença/Decisão,MPCA,155:Procedimento De Cumprimento De Sentença/Decisão
1390,Revisão Judicial De Decisão Do Conselho Tutelar,RJDCT,1390:Revisão Judicial De Decisão Do Conselho Tutelar
12078,Cumprimento De Sentença Contra A Fazenda Pública,CumSenFaz,12078:Cumprimento De Sentença Contra A Fazenda Pública
12424,Medidas Protetivas - Estatuto Do Idoso Infracional,MPUEIInfr,12424:Medidas Protetivas - Estatuto Do Idoso Infracional
276,Notificação Para Explicações (Lei De Imprensa),NotExpLI,276:Notificação Para Explicações (Lei De Imprensa)
12561,Notícia De Irregularidade Em Propaganda Eleitoral,NIP,12561:Notícia De Irregularidade Em Propaganda Eleitoral
273,Pedido De Arquivamento Em Representação Criminal,PARC,273:Pedido De Arquivamento Em Representação Criminal
11029,Procedimentos Especiais Previstos Em Leis Esparsas,PEPLE,11029:Procedimentos Especiais Previstos Em Leis Esparsas
28,Anulação E Substituição De Títulos Ao Portador,ASTP,28:Anulação E Substituição De Títulos Ao Portador
91,Desapropriação Imóvel Rural Por Interesse Social,DIRIS,91:Desapropriação Imóvel Rural Por Interesse Social
11540,Procedimentos Administrativos Da Justiça Eleitoral,PAdmJEl,11540:Procedimentos Administrativos Da Justiça Eleitoral
27,Procedimentos Especiais De Jurisdição Contenciosa,PEJC,27:Procedimentos Especiais De Jurisdição Contenciosa
50,Procedimentos Especiais De Jurisdição Voluntária,PEJV,50:Procedimentos Especiais De Jurisdição Voluntária
11529,Procedimentos Relativos A Realização De Eleição,PRRE,11529:Procedimentos Relativos A Realização De Eleição
1322,Arguição De Descumprimento De Preceito Fundamental,ADPF,1322:Arguição De Descumprimento De Preceito Fundamental
10973,Impugnação Ao Valor Da Causa Infância E Juventude,ImpVCIJ,10973:Impugnação Ao Valor Da Causa Infância E Juventude
167,Insolvência Requerida Pelo Devedor Ou Pelo Espólio,IRPDPE,167:Insolvência Requerida Pelo Devedor Ou Pelo Espólio
12129,Outros Incidentes De Execução Iniciados De Ofício,OIncExInOf,12129:Outros Incidentes De Execução Iniciados De Ofício
310,Pedido De Quebra De Sigilo De Dados E/Ou Telefônico,QuebSig,310:Pedido De Quebra De Sigilo De Dados E/Ou Telefônico
94,Despejo Por Falta De Pagamento Cumulado Com Cobrança,DFPCC,94:Despejo Por Falta De Pagamento Cumulado Com Cobrança
11400,Agravo De Instrumento Em Recurso Ordinário Para O Stf,AIROSTF,11400:Agravo De Instrumento Em Recurso Ordinário Para O Stf
287,Crimes De Responsabilidade Dos Funcionários Públicos,CRFP,287:Crimes De Responsabilidade Dos Funcionários Públicos
11956,Embargos De Divergência Em Agravo Em Recurso Especial,EmbDivARESP,11956:Embargos De Divergência Em Agravo Em Recurso Especial
10972,Exibição De Documento Ou Coisa Infância E Juventude,ExiDocCoiIJ,10972:Exibição De Documento Ou Coisa Infância E Juventude
124,Pedido De Resposta Ou Retificação Da Lei De Imprensa,PRRLI,124:Pedido De Resposta Ou Retificação Da Lei De Imprensa
11537,Registro De Órgão De Partido Político Em Formação,ROPPF,11537:Registro De Órgão De Partido Político Em Formação
216,Incidente De Arguição De Inconstitucionalidade Cível,ArgIncCiv,216:Incidente De Arguição De Inconstitucionalidade Cível
12560,Lista De Apoiamento Para Criação De Partido Político,LAP,12560:Lista De Apoiamento Para Criação De Partido Político
302,Procedimento Especial Dos Crimes De Abuso De Autoridade,PECAA,302:Procedimento Especial Dos Crimes De Abuso De Autoridade
1262,Processo Administrativo Disciplinar Em Face De Servidor,PADServ,1262:Processo Administrativo Disciplinar Em Face De Servidor
1414,Suprimento De Capacidade Ou De Consentimento Para Casar,SICMPPC,1414:Suprimento De Capacidade Ou De Consentimento Para Casar
12231,Cumprimento De Sentença - Lei Arbitral (Lei 9.307/1996),CumSenArb,12231:Cumprimento De Sentença - Lei Arbitral (Lei 9.307/1996)
12553,Duplicidade/Pluralidade De Inscrições - Coincidências,DPI,12553:Duplicidade/Pluralidade De Inscrições - Coincidências
311,Medidas Investigatórias Sobre Organizações Criminosas,MISOC,311:Medidas Investigatórias Sobre Organizações Criminosas
1705,"Remoção, Modificação  E Dispensa De Tutor Ou Curador",RemModDisTutCur,"1705:Remoção, Modificação  E Dispensa De Tutor Ou Curador"
1391,Apuração De Irregularidades Em Entidades De Atendimento,AIEA,1391:Apuração De Irregularidades Em Entidades De Atendimento
1178,Incidente De Arguição De Inconstitucionalidade Criminal,ArgInc,1178:Incidente De Arguição De Inconstitucionalidade Criminal
12119,Incidente De Desconsideração De Personalidade Jurídica,IDPJ,12119:Incidente De Desconsideração De Personalidade Jurídica
299,Procedimento Do Juizado Especial Criminal - Sumariíssimo,ProSum,299:Procedimento Do Juizado Especial Criminal - Sumariíssimo
1264,Processo Administrativo Disciplinar Em Face De Magistrado,PADMag,1264:Processo Administrativo Disciplinar Em Face De Magistrado
457,Pedido De Uniformização De Interpretação De Lei Cível,PUILCiv,457:Pedido De Uniformização De Interpretação De Lei Cível
315,Pedido De Prisão/ Liberdade Vigiada Para Fins De Expulsão,PedPrisLVExpuls,315:Pedido De Prisão/ Liberdade Vigiada Para Fins De Expulsão
12246,Cumprimento De Sentença De Obrigação De Prestar Alimentos,CumSenAlim,12246:Cumprimento De Sentença De Obrigação De Prestar Alimentos
1015,Embargos De Divergência Em Recurso De Mandado De Segurança,EmbDivRMS,1015:Embargos De Divergência Em Recurso De Mandado De Segurança
1434,Execução De Medida De Proteção À Criança E Adolescente,MPCA,1434:Execução De Medida De Proteção À Criança E Adolescente
1117,Execução Hipotecária Do Sistema Financeiro Da Habitação,ExHipSFH,1117:Execução Hipotecária Do Sistema Financeiro Da Habitação
11791,Pedido De Uniformização De Interpretação De Lei Criminal,PUILCrim,11791:Pedido De Uniformização De Interpretação De Lei Criminal
12089,Renovação De Permanência Em Estabelecimento Penal Federal,RPEPF,12089:Renovação De Permanência Em Estabelecimento Penal Federal
12079,Execução De Título Extrajudicial Contra A Fazenda Pública,ExTiExFP,12079:Execução De Título Extrajudicial Contra A Fazenda Pública
154,Liquidação Provisória De Sentença Pelo Procedimento Comum,LiPrPorcedCom,154:Liquidação Provisória De Sentença Pelo Procedimento Comum
12088,Liquidação Provisória De Sentença Pelo Procedimento Comum,LiqPvSenProcComum,12088:Liquidação Provisória De Sentença Pelo Procedimento Comum
1268,Medidas Protetivas De Urgência (Lei Maria Da Penha) Criminal,MPUMPCrim,1268:Medidas Protetivas De Urgência (Lei Maria Da Penha) Criminal
1682,Retificação Ou Suprimento Ou Restauração De Registro Civil,RSRRC,1682:Retificação Ou Suprimento Ou Restauração De Registro Civil
12117,Suspensão Do Incidente De Resolução De Demandas Repetitivas,SIRDR,12117:Suspensão Do Incidente De Resolução De Demandas Repetitivas
12118,Suspensão Em Incidente De Resolução De Demandas Repetitivas,SIRDR,12118:Suspensão Em Incidente De Resolução De Demandas Repetitivas
29,Apreensão E Depósito De Coisa Vendida Com Reserva De Domínio,ADCVRD,29:Apreensão E Depósito De Coisa Vendida Com Reserva De Domínio
12423,Medidas Protetivas De Urgência (Lei Maria Da Penha) Infracional,MPUMPInfr,12423:Medidas Protetivas De Urgência (Lei Maria Da Penha) Infracional
230,Impugnação Ao Pedido De Assistência Litisconsorcial Ou Simples,IPALS,230:Impugnação Ao Pedido De Assistência Litisconsorcial Ou Simples
11035,Representação P/ Declaração De Indignidade/Incompatibilidade ,RDII,11035:Representação P/ Declaração De Indignidade/Incompatibilidade 
1306,Recurso Em Processo Administrativo Disciplinar Em Face De Servidor,RPADServ,1306:Recurso Em Processo Administrativo Disciplinar Em Face De Servidor
12133,Tutela Provisória De Urgência E Tutela Provisória De Evidência,TutPro,12133:Tutela Provisória De Urgência E Tutela Provisória De Evidência
11099,Procedimentos Pré-Processuais De Resolução Consensual De Conflitos,PPPRCC,11099:Procedimentos Pré-Processuais De Resolução Consensual De Conflitos
62,"Procedimentos Regidos Por Outros Códigos, Leis Esparsas E Regimentos",PROCLER,"62:Procedimentos Regidos Por Outros Códigos, Leis Esparsas E Regimentos"
138,Restituição De Coisa Ou Dinheiro Na Falência Do Devedor Empresário,RCDFDE,138:Restituição De Coisa Ou Dinheiro Na Falência Do Devedor Empresário
12132,Incidente De Julgamento De Recurso De Revista E De Embargos Repetitivos,IncJulgRREmbRep,12132:Incidente De Julgamento De Recurso De Revista E De Embargos Repetitivos
11798,Processo De Aplicação De Medida De Segurança Por Fato Não Criminoso,ProcApMSegFNC,11798:Processo De Aplicação De Medida De Segurança Por Fato Não Criminoso
12190,Suspensão Nacional Do Incidente De Resolução De Demandas Repetitivas,SNIRDR,12190:Suspensão Nacional Do Incidente De Resolução De Demandas Repetitivas
12631,Requerimento De Regularização De Omissão De Prestação De Contas Anual,RROPCO,12631:Requerimento De Regularização De Omissão De Prestação De Contas Anual
288,"Crimes De Calúnia, Injúria E Difamação De Competência Do Juiz Singular",CCIDCJS,"288:Crimes De Calúnia, Injúria E Difamação De Competência Do Juiz Singular"
12074,Pedido De Desinternação/Reavaliação/Substituição/Suspensão Da Medida,PedDesReavSubsSus,12074:Pedido De Desinternação/Reavaliação/Substituição/Suspensão Da Medida
12633,Requerimento De Regularização De Omissão De Prestação De Contas Eleitorais,RROPCE,12633:Requerimento De Regularização De Omissão De Prestação De Contas Eleitorais
1392,Apuração De Infração Administrativa Às Normas De Proteção À Criança Ou Adolescente,AIANPCA,1392:Apuração De Infração Administrativa Às Normas De Proteção À Criança Ou Adolescente
108,"Falência De Empresários, Sociedades Empresáriais, Microempresas E Empresas De Pequeno Porte",FESEMEPP,"108:Falência De Empresários, Sociedades Empresáriais, Microempresas E Empresas De Pequeno Porte"
12790,Extensão,,12790:Extensão
12124,Roteiro De Pena,,12124:Roteiro De Pena
12390,Ação De Partilha,,12390:Ação De Partilha
12464,Corregedoria Eleitoral,,12464:Corregedoria Eleitoral
12786,Cumprimento De Sentença,,12786:Cumprimento De Sentença
12630,Representação Especial,,12630:Representação Especial
12058,Suspensão De Segurança,,12058:Suspensão De Segurança
12776,Arguição De Impedimento,,12776:Arguição De Impedimento
426,Recurso Em Sentido Estrito,,426:Recurso Em Sentido Estrito
12777,Exceção De Incompetência,,12777:Exceção De Incompetência
12727,Execução De Pena De Multa,,12727:Execução De Pena De Multa
1730,Recurso Ordinário Criminal,,1730:Recurso Ordinário Criminal
12778,Exceção De Litispendência,,12778:Exceção De Litispendência
12779,Proposta De Súmula Vinculante,,12779:Proposta De Súmula Vinculante
424,Recurso De Medida Cautelar Criminal,,424:Recurso De Medida Cautelar Criminal
12787,Execução Contra A Fazenda Pública,,12787:Execução Contra A Fazenda Pública
10981,Impugnação Ao Cumprimento  De Decisão,,10981:Impugnação Ao Cumprimento  De Decisão
1702,Impugnação De Assistência Judiciária,,1702:Impugnação De Assistência Judiciária
11790,Impugnação De Assistência Judiciária,,11790:Impugnação De Assistência Judiciária
1712,Agravo De Instrumento Em Recurso Extraordinário,,1712:Agravo De Instrumento Em Recurso Extraordinário
12775,Ação Direta De Inconstitucionalidade Por Omissão,,12775:Ação Direta De Inconstitucionalidade Por Omissão
12632,Requerimento De Regularização De Omissão De Prestação De Contas Anual,,12632:Requerimento De Regularização De Omissão De Prestação De Contas Anual
12628,Ação De Justificação De Desfiliação Partidária/Perda De Cargo Eletivo,,12628:Ação De Justificação De Desfiliação Partidária/Perda De Cargo Eletivo
202,Agravo De Instrumento,AI,202:Agravo De Instrumento
1044,Agravo De Instrumento,AI,1044:Agravo De Instrumento
1320,Agravo De Instrumento,AI,1320:Agravo De Instrumento
1033,Ação Penal,AP,1033:Ação Penal
1317,Ação Penal,AP,1317:Ação Penal
1004,Agravo De Petição,AP,1004:Agravo De Petição
47,Ação Rescisória,AR,47:Ação Rescisória
1318,Ação Rescisória,AR,1318:Ação Rescisória
1669,Ação Rescisória,AR,1669:Ação Rescisória
1054,Conflito De Competência,CC,1054:Conflito De Competência
1145,Conflito De Competência,CC,1145:Conflito De Competência
1326,Conflito De Competência,CC,1326:Conflito De Competência
110,Habeas Data,HD,110:Habeas Data
1049,Habeas Data,HD,1049:Habeas Data
1332,Habeas Data,HD,1332:Habeas Data
118,Mandado De Injunção,MI,118:Mandado De Injunção
1335,Mandado De Injunção,MI,1335:Mandado De Injunção
1675,Mandado De Injunção,MI,1675:Mandado De Injunção
1038,Representação,Rp,1038:Representação
1381,Representação,Rp,1381:Representação
11541,Representação,Rp,11541:Representação
169,Embargos,Emb,169:Embargos
207,Embargos,Emb,207:Embargos
1006,Embargos,Emb,1006:Embargos
12060,Exceção,Exc,12060:Exceção
317,Exceções,Exc,317:Exceções
10971,Exceções,Exc,10971:Exceções
233,Incidente De Uniformização De Jurisprudência,IUJ,233:Incidente De Uniformização De Jurisprudência
433,Incidente De Uniformização De Jurisprudência,IUJ,433:Incidente De Uniformização De Jurisprudência
12391,Incidente De Uniformização De Jurisprudência,IUJ,12391:Incidente De Uniformização De Jurisprudência
215,Incidentes,Inc,215:Incidentes
331,Incidentes,Inc,331:Incidentes
406,Incidentes,Inc,406:Incidentes
10969,Incidentes,Inc,10969:Incidentes
244,Reclamação,Rcl,244:Reclamação
1030,Reclamação,Rcl,1030:Reclamação
1202,Reclamação,Rcl,1202:Reclamação
1342,Reclamação,Rcl,1342:Reclamação
12375,Reclamação,Rcl,12375:Reclamação
197,Recursos,Rec,197:Recursos
412,Recursos,Rec,412:Recursos
11033,Recursos,Rec,11033:Recursos
257,Cartas,Cartas,257:Cartas
334,Cartas,Cartas,334:Cartas
1450,Cartas,Cartas,1450:Cartas
1473,Cartas,Cartas,1473:Cartas
99,Divórcio Litigioso,DivLit,99:Divórcio Litigioso
12373,Divórcio Litigioso,DivLit,12373:Divórcio Litigioso
12541,Divórcio Litigioso,DivLit,12541:Divórcio Litigioso
159,Execução De Título Extrajudicial,ExTiEx,159:Execução De Título Extrajudicial
990,Execução De Título Extrajudicial,ExTiEx,990:Execução De Título Extrajudicial
12154,Execução De Título Extrajudicial,ExTiEx,12154:Execução De Título Extrajudicial
277,Procedimentos Investigatórios,ProcInv,277:Procedimentos Investigatórios
1460,Procedimentos Investigatórios,ProcInv,1460:Procedimentos Investigatórios
11032,Procedimentos Investigatórios,ProcInv,11032:Procedimentos Investigatórios
